TEXTO,LABEL
preguntar chico valer color favorito azul tocar,NEUTRO
oportunista político poder sincerar avión salvar vida abuelo padre aguantar ruso,NEUTRO
página página sono questo,NEUTRO
consello armenteros,NEUTRO
haber tontito intentar juntar famoso creer reciclaje millón personar ver,NEGATIVO
respuesta perdón trump hizbullah decir indultar,NEGATIVO
ciclos de vida espaciar conversar instalar reflexionar temático relevancia juventud apuesto acuerdo ético intergeneracionales primero charlar abordar paz post conflicto soy garante de vida,POSITIVO
precioso emotivo vídeo ,POSITIVO
diagnosticar padre contagiar trabajar fortuna perjudicar solo papá testigo invisible inesperado virus cuídense suerte padre estable,NEGATIVO
noche nochebuena navidad corazón desear felicidad permitir,POSITIVO
festejar nacimiento revolucionar historia mundo enterar perseguir,POSITIVO
respeto condolencia lamentar,NEGATIVO
información institución público,NEUTRO
cierto vez enlos trapense estacionamiento costar salir colombiano maldito café grande ecentral po,NEUTRO
navidad significar quedo verano ir poblar,NEUTRO
candar adolescente enviarnos mesmo,NEGATIVO
felicidad prosperidad tú familia mostrar verdad informarnos ilustrar realidad seguir objetivar trabajar agradecer nacho compañía año durar apreciar,POSITIVO
ser votar enojar jodanen lugar hora viajar hora colectivose pelotudos ignorante,NEGATIVO
mejor regalar tener hacer sentir querido saber apreciar,POSITIVO
ir navidad ponerle frenar consumismo desmedir innecesario año ser,NEGATIVO
causar ataque ansiedad convulsionar asco ser humanar celebrar tener usar,NEGATIVO
cursosenlínea ofrecer impulsar empresa mercar internacional,NEUTRO
celebrar sueño esperanzar futuro presentar,POSITIVO
ir debatir impresentable tombolini,NEGATIVO
felicitación logro dificultad superar sentir orgulloso inmensamente agradecer brindar empeñar lograr meter situación país único admirable,POSITIVO
familia año especial inolvidable dar abrazar distanciar brindar salud amor paz noche magia hogar mejorar deseo,POSITIVO
verdadero solución problema levantarme irme dormir amigo,POSITIVO
olvidar hora comenzar feriar obligatorio irrenunciable trabajador comerciar,NEUTRO
registrar nuevo caso coronavirus lamentar informar fallecimiento personar diagnóstico positi,NEGATIVO
dinero banca mundial porqué imperio quitar quitar incluir país,NEUTRO
país enfermar decir mandar institución pantalone,NEUTRO
invitar ciudadanía firmar petición habilitar,NEUTRO
día absurdo competencia argentino día recibir vacuno,NEUTRO
excelente entrevistar evidente conocimiento saber formulación implementación político público personar preparar capacitar púb necesitar político migratorio,NEUTRO
completar etapa importante iniciar gran esperanzar poblar hacer esforzar,POSITIVO
atención querer interactuar ecdf cuéntanos favorito final ingresar unirse reunión,POSITIVO
profesión feliz fortalecer débilmente armar motsu poesía ladrón montaña,POSITIVO
fundamento materialismo dialéctico histórico aleksander yajot librar adentrarse llenar concepción filosófico ideológico antiguo parecer interesante,NEUTRO
resultar estadístico gastar sanitario público ministerio,NEUTRO
pobre manipular sinvergüenza vividor fanático ignorante forzar,NEGATIVO
tristeza respirar tiempo navidad apagar,NEGATIVO
apertura encontrar virtual conversar,NEUTRO
alegrar leche cortar esperar,POSITIVO
gran felicitación especial programar veracidad noticiero,POSITIVO
querer interpelar denunciar ministro suponer agresión solo decir verdad,NEGATIVO
futbol tenes pensamiento equipar ascenso,NEUTRO
cocosette entero samba,NEUTRO
votosalfred seguir día dejar voto siguiente ranking voto ilimitado,NEUTRO
terminar trabajar bañar segundar turnar trabajar buscar pasar buscar taxi irme ir particular limpiar casar dejar querer saber vivir,NEUTRO
creer petro decir asesorar destituir inhabilitar poner preso usar cerebro niño,NEGATIVO
live elegir mejorar álbum aprox ranking interno,POSITIVO
tremendo hilar inaceptable proponer agro exportador subir salariar pagar,NEGATIVO
estúpido hipócrita discursar distar creer creer imbécil caer,NEGATIVO
empresa deber responder nuevo necesidad reto implicar comprar seguro plataforma sencillo expe,NEUTRO
superar octavar jugador partir historia laliga igualar jugador victoria historia laliga partir,NEUTRO
formar pensamiento idiotizadass inteligente allos poder hegemonicos sometimiento losmismos liberador serlo poder evitar influenciar probar,NEGATIVO
portar feliz amigar vivir esperanzar dejar iluminar iluminar vida día,POSITIVO
inventar asesorar gestión,NEUTRO
increíble rial autopercibidos popular,NEUTRO
conocer nivel inglés curso examen ubicación costo solo solicítalo correar,NEUTRO
intentar desestabilizar comerse hacer payaso pelín mejor político masksingerfinal,NEGATIVO
excelente pero bueno solo llamar filántropo colombiano visión interés demás gradar compromiso describir,POSITIVO
capítulo final tipo seriar tramar historia,NEUTRO
gente real inventar emigrar año obligar represión insultante corrupción prianrd millón origen mexicano nacimiento privilegiar falto corrupción ir,NEGATIVO
manipulador hasta elección libre pais ver preferir parra decir alacranizada ìrrita,NEGATIVO
bromar cabeza mirar formar hablar ver falto educación tremendo maleducado,NEGATIVO
pato cornejo diaz pie abajar intentar revisar poder haber provocación ser sancionar igual expulsión,NEGATIVO
poder entrar provincia quedar conocernos charlar bonito muralla ávila ganar ilusión,POSITIVO
querétaro gustar conocer criterio haberlo elegir primero índice alto relación presidencia estatal cordial inusual pensar,NEUTRO
equipar capellán realizar trabajar excepcional director,POSITIVO
comprobar ignorancia mezclar poblar teoría decir probar pandemia activo tomar mostrar sangrar aguja verdad asegurar nuevo,NEGATIVO
hermano colaborar comprar hacer hallacas dejar,POSITIVO
cubano migrante niño año suceder,NEUTRO
ir comprender situación personar zapato,NEUTRO
demasiadxs barco escandaloso desprezo valdeorra,NEGATIVO
tubito lleno aguar lavador arroz llenar pelar gato,NEUTRO
olvidar decir llegar establo posar noto,NEUTRO
secretar mujer diversidad igualdad conversar juntar equipar trabajar,NEUTRO
acurrucar pechar lado izquierdo latir órgano desconocer poner boca intentar imitar beso amar,POSITIVO
comprensión granito arenar aportar,POSITIVO
mesar diciembre promulgar reformar ordenanza municipal actividad eco,NEUTRO
presidente feliz recoger empezar ganar ilusión darle continuidad fútbol regional merecer fuerte abrazar,POSITIVO
canal informativo oficial noticiar importante,NEUTRO
criticar aplaudir ignorar ir foto porfirio felizote,NEGATIVO
homechristmas intentar hacer tendencia hashtag dar gracia maravilloso juntar,POSITIVO
bueno día desgastar sujeto este comentario único invertir realidad pasar criminal terrorista hacerlo ver personar decente íntegro presidente,NEGATIVO
posta ver hacer largar rato directo ace sentir pasándolo hacerme sentir acompañar,POSITIVO
ser honestar miembro hacer lives hacer vlives unidad miembro,POSITIVO
detallar comprobar entender pedir sacrificio defensivo,NEUTRO
ejemplo inspiración pasión afición mejor tío ser feliz navidad groso,POSITIVO
de la persecución total ladrón ofugados el a un,NEGATIVO
implementar verificación inspección personar vehículo sector calvario,NEUTRO
mexico shock jueves entrevistar completo seriar,NEUTRO
mayor confianza interés institucional mercar apuesto superar,NEUTRO
montón antisocial resentir tímido inseguro,NEGATIVO
suspender contar pasar admis contar fomentar acosar contar personal,NEGATIVO
día morir demetrio vallejo defensor ferrocarril nacional democracia,NEGATIVO
tender normalitas cerezo penar quetzalito,NEUTRO
suponer ideo mente verdad preguntar gracia intrigar,NEUTRO
saber número romano intentar enseñar dato,NEUTRO
nombrar presidente nacional pluralidad almeida hacer entregar nombramiento presidente justicia estatal durango,NEUTRO
tío cancelar nuevo temporada porfa,NEUTRO
herencia dedo dictador exterminio maestro intelectual republicano pagar seguir pagar país,NEGATIVO
haber ser personar host hablar interactuar súmale suscripción colmar llegar seguidor palabra feliz fiesta salud felicidad,POSITIVO
creador existir llegar evaluación experto elegir,NEUTRO
kranks their querer pasar navidad irse crucero tomar sol playa,NEUTRO
solo esperar ver shock anafiláctico vivir dar sentar ir poner vacuno,NEGATIVO
deporte hacer partidazo ver poner primero partir,POSITIVO
decir feo tú dudar solo físico pasar amargar infeliz,NEGATIVO
tener tendencia confundirse hacerlo vez abrir boca,NEUTRO
mili representar gente joven puesto bajo mesar influir padre militar izquierdo poner pegar objetor profesional profesional gente obligar aprender mesar,NEUTRO
dinero asistir empresa único generar trabajar genuino pagar ertes desempleo,NEUTRO
año ir dcir puto pario bolsa,NEGATIVO
caer nuevo chino costar hijo puto,NEGATIVO
enterar contar dijieron cabeza tenes vacia,NEUTRO
capacidad convertir frío derecho izquierdo alucinante decir avión vacuno adulto mayor perestroika,NEUTRO
exposición civil volver realizarse,NEUTRO
bueno opción hacer dizque maestro hacer personar capaz manejar dependencia tamaño importancia,NEUTRO
desear año poder seguir encontrándonos búsqueda mundo inclusión perder curiosidad espiritualidad mirar abrir rodear,POSITIVO
ineficacia ineficiencia abastecimiento aguar bombero,NEGATIVO
enviar patrulla ,NEGATIVO
campaña oposición mentira hipocresía,NEGATIVO
festejar nacimiento revolucionar historia mundo enterar perseguir madre propósito único inigualable llegar transformar humanidad hacer hacer tú jesus es navidad,POSITIVO
ver hacer algun año mejorcito vestir mwnua bestia,POSITIVO
decir mesías discípulo vacuno replicar alcanzar imponer realizar multiplicación méxico vacunar,POSITIVO
expansión acelerar epidemia región metropolitano comuna prevalencia prevalencia mayoría subir día,NEUTRO
ganar votar presupuestar ilegal inconstitucionalidad pacto de corruptos,NEGATIVO
gozar plata compadre vacuno comer solo elbo bolsillo pilar,POSITIVO
solo pedir gente portar hacer locura querer seguir clase presencial próximo,NEUTRO
querer dar ofensivo hacer recordar olvidar,NEUTRO
leer leer polítiqueros derecho izquierdo clase medio,POSITIVO
ser partir buscar jugador academy league formulario,NEUTRO
efecto pandemia político inadecuado insuficiente polarizar país pérdida histórico empleo ingreso agravamiento pobreza imposibilidad limitación acceso educación,NEGATIVO
informar través canal telegram información último minutar actualidad nacional deportivo cultura espectáculo,NEUTRO
curioso tipo coser parecer imposible realidad medir expandir concienciar,NEUTRO
socio mordor amigo recordar jugar dampd empezar rol verano surgir juventud pamplona,NEUTRO
ltltlo significar fascismo delincuencia gente formar directo indi,NEGATIVO
gracia político corrupto distinto,NEGATIVO
ir llegar bocón sobrevalorar hijo,NEUTRO
preferir seguir niño inmaduro mantener joven,NEGATIVO
pensar hartar ver gente juzgar saber conocer circunstancia precaucionar tomar feliz disfrute familia elia,POSITIVO
responsable mitómano seguir régimen,NEGATIVO
sacar funcionar sacar puto vacuno servir ñoquicet mandar cagar cagar hacer negocio ceos,NEGATIVO
poner diferenciar vacuno moderno reportar fu,NEGATIVO
atención continuación enlazar votar destacads edi finalista cuenta redar social,NEUTRO
proyectar totalitario antiespañol laicista ideológico apoderarse niño,NEGATIVO
primo madre primo partir padre sobrino maridar soberano británico ser considerar sobrino,POSITIVO
estrellar solo luz eliminar oscuridad iluminar caminar feliz navidad,POSITIVO
nacional epidemia expansión acelerar prevalencia tasar subreporte estable infectar sintomático activo detectar gt día subir día bajar último día,NEUTRO
nombrar junio,NEUTRO
jajajaja tú sos bueno creer canción verano eterno,POSITIVO
bélico genocida estólido inepto imbecil,NEGATIVO
anterior evidente incuestionable reconocimiento expresar texto constitucional solo disposición respectivo redacción,NEUTRO
peor dar gobierno,NEGATIVO
apreciación contactar visual profundar momento,POSITIVO
encerrar mirar historia abrir franja,NEUTRO
lógico espíritu embarazar morir preso político resucitar irse cielo cohete seguir igual esperar volver nave nube creerlo,NEGATIVO
natural plastik tocar hacer,NEUTRO
noche hermoso mundo cristianar nacer honrar familia,POSITIVO
ex concertación blindar delincuente vez sistemático violación ddhh obligac,NEGATIVO
dar miedo involucrarme hacer elegir puro mentiroso,NEGATIVO
nuevo elección celebrar autoridad militar invocar siste,NEUTRO
grupo mujer cubano destacar trayectoria condecorar orden mariano grajales beta,POSITIVO
vivir defender corrupto delincuente muerto vacuno poder ser soretes pamentosos hdrmp,NEGATIVO
viviana canoso,NEUTRO
contexto pandémico cambiar voluntario reclutar hora estudiar,NEUTRO
jugador título futbol,NEUTRO
twitter tiempo lindar día feliz navidad,POSITIVO
seguidor querer palabra traer consolar inspiración último semana dejar,NEUTRO
día vida cambiar vece sonreir llorar cerrar ojo aprender volar,POSITIVO
ver pechenique robba cientifico decir quedo completo ignorancia incultura nombrar rey murio año inutiles hacer ridiculo ir pedir difamar difunto,NEGATIVO
pequenos cren universitario nas,NEUTRO
espiar malo ingeniería,NEGATIVO
épico boludos tú hacer perder hablar dejar partidito salir buscar forro cagar culpable decir chau,NEGATIVO
accidente tráfico intersección herir gravar policía local rojo,NEGATIVO
detallar comprobar entender pedir sacrificio defensivo consecuencia recorrer extenso ir volver dejar luz proponer fase ofensivo claro,NEGATIVO
dia quilombos familiar oculto guardar quejar contrario encantar querer nomas,NEGATIVO
gente harto corrupción indecencia prianrd salvar,NEGATIVO
hey venezolano retornar país información registrarte inscribirte,NEUTRO
tremendo micrófono decidir acercarse niño mascarilla,NEUTRO
haber ser tiempo duro miedo frustración interminable videollamadas ilusión futuro equipar,NEGATIVO
alegrar salir negativo rezar mk cula desear salud importante vida,POSITIVO
seguridad posible socialismo cuba viva,POSITIVO
carretero recordar llamarnos asistencia información síguenos redar social,NEUTRO
ver gustar señalar gratuito,POSITIVO
meter amigo ser victimar acosar sostener injustificado amigo,NEGATIVO
gracia querer nombrar conseguir medicación recetar,POSITIVO
hacer chiste salir buscar papel higiénico ir preso noche,NEGATIVO
pastar,NEUTRO
deplaneta costarica recibir miércoles lote vacuno iniciar vacunación,NEUTRO
cómplice tetón legitimar express inhabilitación ilegal mayoría legal aceptar ilegal inservible ilegal elección tetón,NEGATIVO
navideño pasar empezar acoger niño casar,NEGATIVO
recordar gente trabajar producir posibilitar infradotados tú delirar ver acabar currito estatal laburar obedecer capacitar ganar militar,NEUTRO
tinistas dejar paz deportivo ir tomar culo líder,NEGATIVO
hacer pan galleta hacer brownie productividad,POSITIVO
bueno hijo servir órgano bueno condicionar,POSITIVO
nombrar junio dia concepto imaginar enviar colpensiones llevar pagar incapacidad,NEUTRO
gracia político corrupto distinto país corrupto región lograr destruir país imponer adolescente enajenar sueño narcorevolucionarios,NEGATIVO
llegar familia incondicional poblar sacrificar líder,NEUTRO
brigada llegar primero vez enfrentar pandemia,NEUTRO
existir feliz cosita llegar hacer posta amar,POSITIVO
cabeza devolver enviar pagar tiempo hacer cuarentena zona país comprender tener paciencia destinatario decir malo servicio,NEUTRO
pequeño diagnosticar soplar hipertensión pulmonar levar,NEUTRO
sonar aprobar ley seriar acordar terminar periodo completar,POSITIVO
presidente segundar secretario machar,NEUTRO
profesional salud arribar país apoyar enfrentamiento,NEUTRO
acto protocolario mpceip subsecretaría artesanía realizar entregar,NEUTRO
insistir cambiar rumbo,NEUTRO
vulnerable poner escaso apoyar único,NEGATIVO
noooooo verdad ser basura inoperante feo muerte verdad,NEGATIVO
bueno día hacer stream hablandojugando intentar navidad ameno,POSITIVO
recibir año amorosamente hablar cumpleaño,POSITIVO
ver volver vídeo gracia vaina falto respetar absoluto injustificable,NEUTRO
tontería ilógico diputar gobernaturas ser candidato homosexual indígena médico mayor año menor nocuotas,NEUTRO
culpar sacarlo llorar,NEGATIVO
muchísimas chiquito pase lindo gente apreciar amar,POSITIVO
acabar evitar sacrificar aliviar agradecimiento,POSITIVO
introducir tener descontar producto,NEUTRO
dende redmeteo deséxovos mellor posible neste ano peculiar ride poidades soñade grande vida mellor grazas dar pantalla diario apear,NEUTRO
decir cenar hablar monarquía república noche salir,NEUTRO
gracia querer casar compartir hijes,POSITIVO
delegación alimento,NEUTRO
antiuribistas año ser ola grande llegar momento desinfectar país nefasto incompetente sinvergüenza corrupto uribistas ser momento cambiar,NEGATIVO
demostrar aspersión ineficiente prometer cambiar enfocar,NEUTRO
tixolo votar votar máximo señor barbudo internar rural,NEUTRO
estimar respetar compañero paz hijo pésame,POSITIVO
comer tapaboca boca cubrir mano aguar jabón lado alcohol compartir utensilio identificar,NEUTRO
vacuno elegir,NEUTRO
grandísimo placer listo apreciar agradecer bueno bendecidos día,POSITIVO
foto boxer crop,NEUTRO
embarazo aborto provocar,NEUTRO
épico avión buscar vacuno autorizar chorro inútil,NEGATIVO
suegro minuto tender comprar vinitos esperame,POSITIVO
nicaragua,NEUTRO
lanzamiento beneficio personar mayor intendente río césar,NEUTRO
padre dominicano loco diciendonos estabamos gordo,NEGATIVO
recontar voto escrutar control militar invocar maniobrar voto electoral,NEUTRO
lindo gracia hermoso juntar familia,POSITIVO
muchísimas ojalá año venir traer felicidad poder besar abrazar poder feliz navidad,POSITIVO
masa yanasus trabajo ilustración nuevo álbum creación redar social nuevo album,NEUTRO
raeconsultas aludir grupo mixto normal usar masculino género marcar,NEUTRO
feliz fiesta casar acoger buscar hogar tranquilo car,POSITIVO
ropa comprar venir foco contagiar negro restaurante comer venta comer hacerlo contagiar costar vida ahogar chuy salir rocha intentar salvarte,NEUTRO
navidad esperanzar año venir posible imaginario logro junto,POSITIVO
boa festas festivaleiros traer isto,NEUTRO
niño protagonista actividad realizar señor moyetones niñosfelices sembrandoesperanza amarsirviendoyserviramandoj,POSITIVO
periodista mostrar mentira inconsistencia denunciar ex diputar funcionario,NEGATIVO
injusto gracia traer salud,NEGATIVO
ay pensar pobrecito tremendo agresión jugador sucio jugador agredir insultar,NEGATIVO
pasar pendejo coco hijo,NEUTRO
mejor libertar cumplir rol defensivo ir sacar equipar asistir goleador seguir,NEUTRO
increíble nivel cinismo complicidad criminal régimen tiranico corrupto poner general miseria indefensión ser repudiar execrar,NEGATIVO
chavismo llegar decir increíble imparable ganar,POSITIVO
ignorante incoherente personaje escribir columna decir festejar navidad ser momento añoranza paz etcetc saber navidad celebrar razón historia afirmar importancia mentira,NEUTRO
personar implicar,NEUTRO
hablar debatir monarquía república,NEUTRO
grupo gheada nosos ambiente íntimo fanme pouco graza verdade seghura círculo lle pensar conto,NEUTRO
freesaliba hora empezar campaña inundar twitter jugar,NEUTRO
falto cuidar personal desprolijidad observar simple vestir anunciar,NEGATIVO
celebrar hermoso irrepetible historia humanidad nacimiento conmemorar fecho gustar embargar celebrarlo,POSITIVO
izquierdo adoptar negro pobre homosexual mujer inmigrante mascota político fracturar,NEGATIVO
promesa apoderar país aplicar político,NEUTRO
vez racismo odiar evidente invisible xq claro odiar racista explícito,NEGATIVO
tribuna internacional inacción nacional youtub,NEUTRO
solo apoyar caer interactuar saber bardera,NEUTRO
hacer contar solo jajajajajaja,NEUTRO
claro ellu emily,NEUTRO
enseñar hacer creer casar inseguridad importante poder hacerse pedir dato hacer procesar preguntar pasar dato parecer contestar,NEUTRO
golpista pluma prensar sumiso mafia incisivo aportar,NEGATIVO
momento consumir consciente bng querer apoiar creer riqueza,NEUTRO
estar trabajar pandemia,NEUTRO
único natal juyeon,NEUTRO
hola poder revisar situación favor envíanos mensaje privar número teléfono email asociar contar,NEGATIVO
emplear público gran partir venecos cubano director jefe bono miseria vago irresponsable hijo montón venecos expulsar país ser delincuente creerse superior,NEGATIVO
íntegro incombustible mariano espejismo lodazal biocida fuerte abrazar compañero fiero,NEUTRO
anunciar dato infinito ilimitado primero líneo,NEUTRO
querido elegir colorir llenarnos alegría ilusión partir,POSITIVO
presentar nuevo proyectar agradecer confianza interés desarrollar contar amenidad exclusivo eco tecnología innovador rivieramaya realestate,POSITIVO
primero vacuno pfizer aterrizar destinar primero instancia valiente personal salud ingresar,NEUTRO
personaje bueno sacar beto epidemia contar viejo mierggg,NEUTRO
prohiben funcionamiento valdivia,NEGATIVO
sentir frustrar insuficiente esforzar desiciones adecuar importate pedir favor querer llegar casar,NEUTRO
recomendación literario fiesta libro nadia ferrán fantasía regalar libro,POSITIVO
amigo salud vvir bida sonria amar familia qiero amigo,POSITIVO
decirlo docencia sobrar abrazar,NEUTRO
fallecer explicar pitazo,NEGATIVO
único último libertador intercontinental ganar número último tornear internacional único pos título último semifinal disputar,NEUTRO
querido verdad yoga librar tabaco alcoho comer procesar cochinada,NEGATIVO
querer versar hétero preocupación válido hétero decir contrario,NEGATIVO
vivir navidad diferente inolvidable lleno esperanzar momento elegir vacuno combatir pandemia junto junto,POSITIVO
corrupción inutilidad indignidad lastrar democracia tener ser imponer desarraigar poblar único objetivar restauración sobrevivir franquismo muerte tirano,NEGATIVO
melgarejo sangrar película romántico problema presupuestar inferior traer coser,NEGATIVO
perrito tiempo junto hijo lindo,POSITIVO
photocards estar divino tener plata,POSITIVO
gente decir amorcito pasar navidad año nuevo preocupense pasar,POSITIVO
ser esperar leer letra chiquito porq desalmar cenarmas hacer,NEUTRO
pasar fosar maior gravidade diagnóstico culpar consultar telefónico retraso nas citar,NEUTRO
mes mediar poner fácil cruzar patitas,NEUTRO
angelica referir paloma proponer,NEUTRO
screenshot árbol hacer letra punto ace,NEUTRO
ridículo ideo interesante proponer,NEUTRO
mujer casar país obligar servir esposo hijo manera inútil caso violentar paso hijo servir padre dejar culpar mujer,NEGATIVO
ruso detras formular rey,NEUTRO
sinatura opinión situación,NEUTRO
esperar pasar coser juguetón inocente solo jugar amorcito triste pasar quedo consolar distar mejor vida amor,POSITIVO
quintanaroo natural único zona sur,NEUTRO
segundar venir cristo,NEUTRO
ridículo ideo interesante proponer solo simple creatividad inteligencia,POSITIVO
dera agora domingo dar infancia casar ovo estrellar avó cortar despensa bonito saber afortunado moita morriña teña,NEUTRO
inversión superior millón nuevo sedar normal superior aula nuevo aula especializar laboratorio zona recreativo construir oportunidad,POSITIVO
tonto producto catalán nivel cultural intelectual ser bajoeso gilipollas dejar influenciar odiar,NEGATIVO
atención contar horario operación recolección residuo domiciliario día diciembre essmar encontrar comprometer garantizar prestación servicio público,NEUTRO
historia seudohistorias historia falso vivir apuntar herejía,NEGATIVO
rla,NEUTRO
pasedes unhas feliz festas prudencia http,NEUTRO
peder decir manejar único decir gracia pelotudes ignorancia,NEGATIVO
decir contar tiempo poder amar querer personar valorarme quererme querer parejo autorreflexión necesario importante querer mejorar personar difícil imposible feliz fiesta,POSITIVO
lograr terminar construcción colegiar nuevo ampliar tratar normal superior cofinanciada juntar gran colegiar beneficiar estudiante,POSITIVO
pensar dinero quedo dinero,NEUTRO
supremo músico historia imagen,NEUTRO
testimoniar desaparecidasecuador año ausencia impunidad injusticia vivir,NEGATIVO
fiesta encontrar unidxs cuidar necesario disponer redoblar esfuerzo seguir trabajar salir mejorar trabajar oportunidad salud igualdad,POSITIVO
dar,NEUTRO
atípico outros ano hoxe erar ano casar valer previr,NEUTRO
año asesinar sindicalista defensor,NEGATIVO
episodio recordar hacer hacerlo,NEUTRO
hora empezar relatar victor humo epico increible aterrizaje avion,NEUTRO
visitar estacionar médico operar adicional,NEUTRO
agregar quitar entrevistar trampa pasión burlar brutal ilusionar desengaño triste verdad remediar,NEGATIVO
político derecho izquierdo,NEUTRO
var pasar penalti centrocampista brasileño agarrar mano,NEUTRO
bueno gobernar poner situación saber querer prevenir contagio detectar virus prueba rápido proporcionar mascarilla servir incentivar usar trapo desastre,NEGATIVO
feliz dar abrazar camionero mariñeiros hostelero servicio emergencia,NEUTRO
decembro agostar poeta francés destacar figurar transitorio poema romántico,NEUTRO
matear capítulo versículo bienaventurado procurar paz llamar hijo dios,POSITIVO
ofrecer vacuno blue,NEUTRO
animal sabio ser ignorante irresponsable,NEGATIVO
reportar reclamación seriedad problema cliente hacer reportar día tener respuesta esperar febrero cancelar irme compañía,NEUTRO
vándalo indeseable cometer exceso policía ambulancia atrocidad investigar organismo ddhh creer aptar cargar,NEGATIVO
presidente solicitar nuevo orden mundial masón,NEUTRO
tener oximetro termómetro vitamina alimentar fruto bombo parecer falto bloquear feliz salud,NEUTRO
cambiar lore contar pasar ser arisen basar fichar ᴀᴅᴀʟɪᴅᴏsᴄᴜʀᴀ,NEUTRO
regalar versión españolar cubano usar teléfono banda casar contrario actualizar versión global saludo suerte,NEUTRO
permitirme pasar día familia mejor regalar permitirme año complejo iniciar nuevo año ser año familia esperar paciencia valer penar,POSITIVO
proteger perro fuego artificial thread,NEUTRO
decir groserias año vivi mexico enseñar ser diablo hablar,NEGATIVO
pasar je gustar historia interesante inesperado comparación molado,NEUTRO
feliz nochebuena diciembre editorial componer periodista intelectual responsabilidad editorial joven,POSITIVO
presidente solicitar nuevo orden mundial masón illuminatis youtube,NEUTRO
guardia enfermería centro salud diciembre hs elparqie larotonda,NEUTRO
loco comprar descargar mirar linear español ingle,NEUTRO
saber mayor confianza menor miedo,POSITIVO
marino integrante comité asesar,NEUTRO
respuesta facil lleno logro inauraciones tiempo demostrar celebrar carretero,NEUTRO
casar existir corralito piñera pasar delincuente,NEGATIVO
dale ruso vuelo armar operativo traer ruso indio,NEUTRO
emprendedor área,NEUTRO
chegado día invítovos aportación tempada ilusionante,NEUTRO
mafioso encabezar decrepitar ir tener titular pasquin mostrar positivo desear,NEGATIVO
mercar ingenioso guíacadenas,NEUTRO
resultar oculto crítico hacer caso pol poder ser costo alto innecesario temer atendible serie jugar instancia error caro cf,NEUTRO
poner disposición científico docs anteproyecto ley,NEUTRO
empezar hacer ensayo fase iii hospital durar año web clínico periodo aprobar comparar plazo pfizer,NEUTRO
perdón periodista,NEUTRO
bueno distanciamento centímetro,NEUTRO
último hora montar guipúzcoa grupo miliciano requeté dejar,NEUTRO
jefe alertar crecimiento siniestro vial instar evitar inge,NEGATIVO
favorito diferenciar mandar abrazar enorme inmenso corazón,POSITIVO
imperio romano imponer ingreso personar haber imponer exportación importación granar fruto tributar voluntario,NEGATIVO
poder ser ser signar géminis justar ser intenso,NEUTRO
tonto pensar punto encontrar seguro colectivo cultura poderoso caballero activista investigador sentir decepcionar,NEUTRO
creer mujer pensar pasar historia ser miserable necio inculto pensar,NEGATIVO
gorriado soltar pensar usar camisa laburar condenar pobreza infelicidad seguro tambien puto,NEGATIVO
llegar juntar segundar partir saludo tímido,NEUTRO
puchento preso político ser delincuente punto,NEGATIVO
executar fase acondicionamento dar,NEUTRO
inteligente vicky hablar mejor castellano,POSITIVO
año creer conocer personar hermoso mesar mundo poner hacer posible ver ver caro destapar mirar profundo restar historia,NEUTRO
titánico verdad undido océano agro mejor ayudar uribito saber enseñar amar presidente,NEUTRO
decir jefe mafioso mafia cobarde mentiroso incoherente mamarracho,NEGATIVO
mujer tecnología ambientar hostil atravesar violencia género acosar burlar,NEGATIVO
izquierdo patentar poder haber hacer hacer poder destruir país ser izquierdo ir impedirlo derecho controlar gobernar,NEUTRO
voz robar año puro mierda corrupción prepotencia crimen corrupción inoperancia actual centavo poblar,NEGATIVO
abrazar ánimo tocar pasar solo familia sit,POSITIVO
pilotar mexicano proclamar campeón poblar,POSITIVO
dar circunstancia festas,NEUTRO
barajar alternativo permitir afrontar,NEUTRO
gran idioma asesinar rato barbaridad basura periodista botar profesional vergüenza,NEGATIVO
poner cenar familia tiro primo,NEUTRO
navidad pontificio real hermandad coronar desear feliz cristiano,POSITIVO
cierto pensar jugar mejor izquierdo sorpresa nivel compromiso mostrar año,POSITIVO
peor banner bromano ir probar,NEUTRO
hwr decir director creer existir preso político https,NEGATIVO
primero hipótesis suponer exceso velocidad carril embargar iniciar investigación suceso,NEGATIVO
federal gestión aguar ámbito rural político público eficaz inve,NEUTRO
hacer suceder mediar poder hacer solicitud portabilidad extrañar hacer procesar mediar pedir dato tener soporte,NEUTRO
informativo conexión semanal espaciar ofrecer mostrar positivo innovador generar academia beneficiar sociedad,POSITIVO
sueño ilusión feliz fiesta,NEUTRO
vivir navidad dejar impedir feliz querer bueno energias,POSITIVO
ser año sufrimiento incertidumbre solidaridad precedente logro inspirador compromiso resistencia voluntario colega socio brillante llenar salud esperanzar,POSITIVO
actualizar diciembre avisar,NEUTRO
unidad producción quilziolli demostrar trabajar equipar dar grande resultar,POSITIVO
invitar querer participar cursar inversión enero aplicar becar disponible siguiente,POSITIVO
vacuno diferente plataforma viral posible tecnología cadena freír adelantar arriesgar vacuno dosis alcanzar área rural dosis,NEUTRO
razón nacional partir oposición abrir archivo secreto impulsar investigación serio tratar crimen imputable terrorismo estar democracia,NEGATIVO
poder preparar quedo hacerme foto rápido filtrar ojo rojo hinchar llorar intentarlo hacerlo,NEGATIVO
héroe rainbow poder verlos próximo tornear campeonato volver,NEUTRO
corporación cubano reforzar medir higiénicosanitarias po,NEUTRO
